time,voltage,current,power,hydrogen,mode
0.5104,0.00,0.000,0.000,0.000,0
1.0114,0.00,0.000,0.000,0.000,0
1.5279,0.00,0.000,0.000,0.000,0
2.0280,0.00,0.000,0.000,0.000,0
2.5329,0.00,0.000,0.000,0.000,0
3.0453,0.00,0.000,0.000,0.000,0
3.5604,0.00,0.000,0.000,0.000,0
4.0754,0.00,0.000,0.000,0.000,0
4.5911,0.00,0.000,0.000,0.000,0
5.0933,0.00,0.000,0.000,0.000,0
5.6079,0.00,0.000,0.000,0.000,0
6.1237,0.00,0.000,0.000,0.000,0
6.6257,0.00,0.000,0.000,0.000,0
7.1408,0.00,0.000,0.000,0.000,0
7.6446,0.00,0.000,0.000,0.000,0
8.1568,0.00,0.000,0.000,0.000,0
8.6580,0.00,0.000,0.000,0.000,0
9.1736,0.00,0.000,0.000,0.000,0
9.6741,0.00,0.000,0.000,0.000,0
10.1897,0.00,0.000,0.000,0.000,0
10.6904,0.00,0.000,0.000,0.000,0
11.2057,0.00,0.000,0.000,0.000,0
11.7072,0.00,0.000,0.000,0.000,0
12.2231,0.00,0.000,0.000,0.000,0
12.7393,0.00,0.000,0.000,0.000,0
13.2394,0.00,0.000,0.000,0.000,0
13.7557,0.00,0.000,0.000,0.000,0
14.2561,0.00,0.000,0.000,0.000,0
14.7723,0.00,0.000,0.000,0.000,0
15.2877,0.00,0.000,0.000,0.000,0
15.7878,0.00,0.000,0.000,0.000,0
16.3040,0.00,0.000,0.000,0.000,0
16.8209,0.00,0.000,0.000,0.000,0
17.3218,0.00,0.000,0.000,0.000,0
17.8369,0.00,0.000,0.000,0.000,0
18.3536,0.00,0.000,0.000,0.000,0
18.8695,0.00,0.000,0.000,0.000,0
19.3699,0.00,0.000,0.000,0.000,0
19.8708,0.00,0.000,0.000,0.000,0
20.3862,0.00,0.000,0.000,0.000,0
20.8865,0.00,0.000,0.000,0.000,0
21.4031,0.00,0.000,0.000,0.000,0
21.9187,0.00,0.000,0.000,0.000,0
22.4335,0.00,0.000,0.000,0.000,0
22.9353,0.00,0.000,0.000,0.000,0
23.4512,0.00,0.000,0.000,0.000,0
23.9677,0.00,0.000,0.000,0.000,0
24.4843,0.00,0.000,0.000,0.000,0
25.0004,0.00,0.000,0.000,0.000,0
25.5004,0.00,0.000,0.000,0.000,0
26.0155,0.00,0.000,0.000,0.000,0
26.5166,0.00,0.000,0.000,0.000,0
27.0328,0.00,0.000,0.000,0.000,0
27.5494,0.00,0.000,0.000,0.000,0
28.0643,0.00,0.000,0.000,0.000,0
28.5652,0.00,0.000,0.000,0.000,0
29.0655,0.00,0.000,0.000,0.000,0
29.5815,0.00,0.000,0.000,0.000,0
30.0986,0.00,0.000,0.000,0.000,0
30.6137,0.00,0.000,0.000,0.000,0
31.1139,0.00,0.000,0.000,0.000,0
31.6141,0.00,0.000,0.000,0.000,0
32.1300,0.00,0.000,0.000,0.000,0
32.6457,0.00,0.000,0.000,0.000,0
33.1470,0.00,0.000,0.000,0.000,0
33.6623,0.00,0.000,0.000,0.000,0
34.1640,0.00,0.000,0.000,0.000,0
34.6787,0.00,0.000,0.000,0.000,0
35.1788,0.00,0.000,0.000,0.000,0
35.6936,0.00,0.000,0.000,0.000,0
36.1944,0.00,0.000,0.000,0.000,0
36.6957,0.00,0.000,0.000,0.000,0
37.2113,0.00,0.000,0.000,0.000,0
37.7272,0.00,0.000,0.000,0.000,0
38.2439,0.00,0.000,0.000,0.000,0
38.7449,0.00,0.000,0.000,0.000,0
39.2595,0.00,0.000,0.000,0.000,0
39.7600,0.00,0.000,0.000,0.000,0
40.2765,0.00,0.000,0.000,0.000,0
40.7916,0.00,0.000,0.000,0.000,0
41.2924,0.00,0.000,0.000,0.000,0
41.8091,0.00,0.000,0.000,0.000,0
42.3247,0.00,0.000,0.000,0.000,0
42.8249,0.00,0.000,0.000,0.000,0
43.3410,0.00,0.000,0.000,0.000,0
43.8414,0.00,0.000,0.000,0.000,0
44.3580,0.00,0.000,0.000,0.000,0
44.8741,0.00,0.000,0.000,0.000,0
45.3905,0.00,0.000,0.000,0.000,0
45.9060,0.00,0.000,0.000,0.000,0
46.4072,0.00,0.000,0.000,0.000,0
46.9231,0.00,0.000,0.000,0.000,0
