time,voltage,current,power,hydrogen,mode
0.5122,0.00,0.000,0.000,0.000,0
1.0129,0.00,0.000,0.000,0.000,0
1.5288,0.00,0.000,0.000,0.000,0
2.0293,0.00,0.000,0.000,0.000,0
2.5295,0.00,0.000,0.000,0.000,0
3.0458,0.00,0.000,0.000,0.000,0
3.5602,0.00,0.000,0.000,0.000,0
4.0616,0.00,0.000,0.000,0.000,0
4.5772,0.00,0.000,0.000,0.000,0
5.0937,0.00,0.000,0.000,0.000,0
5.5941,0.00,0.000,0.000,0.000,0
6.0954,0.00,0.000,0.000,0.000,0
6.6099,0.00,0.000,0.000,0.000,0
7.1100,0.00,0.000,0.000,0.000,0
7.6113,0.00,0.000,0.000,0.000,0
8.1258,0.00,0.000,0.000,0.000,0
8.6396,0.00,0.000,0.000,0.000,0
9.1425,0.00,0.000,0.000,0.000,0
9.6587,0.00,0.000,0.000,0.000,0
10.1755,0.00,0.000,0.000,0.000,0
10.6930,0.00,0.000,0.000,0.000,0
