time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,0.000,0.000,1
0.5000,0.10,0.000,0.000,0.000,1
1.0000,0.20,0.000,0.000,0.000,1
1.5000,0.30,0.300,0.000,2.664,1
2.0000,0.00,0.000,0.000,0.000,1
2.5000,0.50,0.000,0.000,0.000,1
3.0000,0.60,0.000,0.000,0.000,1
3.5000,0.70,0.000,0.000,0.000,1
4.0000,0.80,0.000,0.000,0.000,1
4.5000,0.90,0.000,0.000,0.000,1
5.0000,1.00,0.000,0.000,0.000,1
5.5000,1.10,0.000,0.000,0.000,1
6.0000,1.20,0.000,0.000,0.000,1
6.5000,1.30,0.000,0.000,0.000,1
7.0000,1.40,0.000,0.000,0.000,1
7.5000,1.50,0.000,0.000,0.000,1
8.0000,1.60,0.000,0.000,0.000,1
8.5000,1.70,0.000,0.000,0.000,1
9.0000,1.80,0.000,0.000,0.000,1
9.5000,1.90,0.000,0.000,0.000,1
10.0000,2.00,0.000,0.000,0.000,1
