time,voltage,current,power,hydrogen,mode
0.0000,6.48,0.000,0.000,0.000,0
0.5000,6.48,0.172,1.114,1.527,0
1.0000,6.48,0.347,2.248,3.081,0
1.5000,6.47,0.522,3.377,4.635,0
2.0000,6.47,0.697,4.509,6.190,0
2.5000,6.47,0.872,5.641,7.744,0
3.0000,6.46,1.047,6.763,9.298,0
3.5000,6.46,1.222,7.894,10.852,0
4.0000,6.45,1.397,9.010,12.406,0
4.5000,6.45,1.571,10.132,13.951,0
5.0000,6.45,1.747,11.268,15.514,0
5.5000,6.44,1.922,12.377,17.068,0
6.0000,6.44,2.097,13.504,18.622,0
6.5000,6.44,2.271,14.625,20.167,0
7.0000,6.43,2.447,15.734,21.730,0
7.5000,6.43,2.622,16.859,23.284,0
8.0000,6.43,2.797,17.984,24.838,0
8.5000,6.42,2.972,19.080,26.392,0
9.0000,6.42,3.146,20.197,27.937,0
9.5000,6.42,3.322,21.327,29.500,0
10.0000,6.41,3.497,22.415,31.054,0
