time,voltage,current,power,hydrogen,mode
time,voltage,current,power,hydrogen,mode
0.5010,0.98,0.438,0.429,3.890,0
1.0182,0.98,0.438,0.429,3.890,0
1.5350,0.98,0.438,0.429,3.890,0
2.0505,0.98,0.438,0.429,3.890,0
2.5505,0.98,0.438,0.429,3.890,0
3.0506,0.98,0.438,0.429,3.890,0
3.5506,0.98,0.438,0.429,3.890,0
4.0506,0.98,0.438,0.429,3.890,0
4.5506,0.98,0.438,0.429,3.890,0
5.0506,0.98,0.438,0.429,3.890,0
5.5506,0.98,0.438,0.429,3.890,0
6.0506,0.98,0.438,0.429,3.890,0
6.6355,0.98,0.438,0.429,3.890,0
7.1481,0.98,0.438,0.429,3.890,0
