time,voltage,current,power,hydrogen,mode
0.5039,1.61,0.000,0.000,0.000,0
1.0045,1.61,0.000,0.000,0.000,0
1.5052,1.61,0.000,0.000,0.000,0
2.0175,1.61,0.000,0.000,0.000,0
2.5178,1.61,0.000,0.000,0.000,1
3.0188,1.61,0.000,0.000,0.000,1
3.5341,1.61,0.000,0.000,0.000,1
4.0499,1.61,0.000,0.000,0.000,1
4.5509,1.61,0.000,0.000,0.000,0
5.0523,1.61,0.000,0.000,0.000,0
5.5663,1.61,0.000,0.000,0.000,1
6.1203,1.61,0.000,0.000,0.000,0
6.6335,1.61,0.000,0.000,0.000,1
7.1491,1.61,0.000,0.000,0.000,0
7.6502,1.61,0.000,0.000,0.000,1
