time,voltage,current,power,hydrogen,mode
0.0000,1.50,0.998,0.000,8.863,1
0.5000,1.65,1.000,0.000,8.880,1
1.0000,1.80,1.000,0.000,8.880,1
1.5000,1.95,0.998,0.000,8.863,1
2.0000,2.10,0.999,0.000,8.871,1
2.5000,2.25,1.001,0.000,8.889,1
3.0000,2.40,0.999,0.000,8.871,1
3.5000,2.55,0.999,0.000,8.871,1
4.0000,2.70,1.001,0.000,8.889,1
4.5000,2.85,1.000,0.000,8.880,1
5.0000,3.00,0.998,0.000,8.863,1
5.5000,3.15,1.001,0.000,8.889,1
6.0000,3.30,1.000,0.000,8.880,1
6.5000,3.45,0.998,0.000,8.863,1
7.0000,3.60,1.000,0.000,8.880,1
7.5000,3.75,1.001,0.000,8.889,1
8.0000,3.90,0.998,0.000,8.863,1
8.5000,4.05,1.000,0.000,8.880,1
9.0000,4.20,1.000,0.000,8.880,1
9.5000,4.35,0.998,0.000,8.863,1
10.0000,4.50,0.999,0.000,8.871,1
