time,voltage,current,power,hydrogen,mode
0.0000,4.87,5.698,27.749,50.600,0
0.0000,4.98,5.143,25.612,45.671,0
0.0000,4.98,0.011,0.054,0.098,0
0.0000,4.97,0.303,1.505,2.691,0
0.0000,4.97,0.601,2.986,5.337,0
0.0000,4.96,0.898,4.454,7.974,0
0.0000,4.95,1.197,5.925,10.630,0
0.0000,4.95,1.497,7.410,13.294,0
0.0000,4.93,2.097,10.338,18.622,0
0.0000,4.93,2.397,11.817,21.286,0
0.0000,4.93,2.697,13.296,23.950,0
0.0000,4.92,2.997,14.745,26.614,0
0.0000,4.92,3.297,16.221,29.278,0
0.0000,4.91,3.597,17.661,31.942,0
0.0000,4.91,3.897,19.134,34.606,0
0.0000,4.90,4.198,20.570,37.279,0
0.0000,4.89,4.498,21.995,39.943,0
0.0000,4.89,4.763,23.291,42.297,0
0.0000,4.88,4.816,23.502,42.767,0
0.0000,4.87,5.105,24.861,45.334,0
