time,voltage,current,power,hydrogen,mode
0.0000,0.00,5055.027,2.990,44889.984,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,4.355,2.990,38.674,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,4.355,2.990,38.674,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,2.94,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,2.96,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,16.41,0.000,-1549598.750,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,16.41,0.000,-1549598.750,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.06,0.000,-1431657.750,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,303169.719,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,-1431657.75,18531.490,0.000,164564.562,0
time,voltage,current,power,hydrogen,mode
0.0000,50576.89,0.294,0.000,2.614,0
time,voltage,current,power,hydrogen,mode
0.0000,43.55,0.299,0.000,2.655,0
time,voltage,current,power,hydrogen,mode
0.0000,0.01,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.01,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.01,0.000,-1364304.125,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,50528.258,185303.062,448704.344,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,-143165.766,185314.906,-1271350.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,-143169.172,185314.906,-1271380.250,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,30317.303,0.011,269225.688,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,471597.062,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,471597.062,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,43.01,0.294,0.000,2.614,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,1077943.250,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,43.68,0.294,0.000,2.614,0
